cs	en	40	Information_Portal_Czech_President_Czech_Castle	Information Portal of the Czech President and Czech Castle	https://elrc-share.eu/repository/browse/information-portal-of-the-czech-president-and-czech-castle/2c11868e088b11e6b68800155d020502c402eaf049834da0bbb019049e42098c/	https://elrc-share.eu/repository/download/2c11868e088b11e6b68800155d020502c402eaf049834da0bbb019049e42098c/	publicDomain	cz_hrad_A_ces-eng.tmx
en	nl	84	Dutch_Government	Dutch Government Website	https://elrc-share.eu/repository/browse/dutch-government-website/5958b44a1c0f11e6b68800155d020502f14b5969313b4a9a9c7ca0a2fdb6ba72/	https://elrc-share.eu/repository/download/5958b44a1c0f11e6b68800155d020502f14b5969313b4a9a9c7ca0a2fdb6ba72/	CC0-1.0	nl_government_final_A_eng-nld_reduced.tmx
es	pt	335	government_websites_espt	Spanish-Portuguese website parallel corpus	https://elrc-share.eu/repository/browse/spanish-portuguese-website-parallel-corpus/0a47b80613f811e7bfe700155d020502893b00fd6c7d493e8a1e4e74573b0680/	https://elrc-share.eu/repository/download/0a47b80613f811e7bfe700155d020502893b00fd6c7d493e8a1e4e74573b0680/	openUnder-PSI	archive/335.es-pt.tmx
en-gb	nb-no	386	Statens_Vegvesen	Statens Vegvesen Translation Memories	https://elrc-share.eu/repository/browse/statens-vegvesen-translation-memories/b97eab8e240d11e7bfe700155d0205027eb084d4e06f4d03a2c392ad8a282f9b/	https://elrc-share.eu/repository/download/b97eab8e240d11e7bfe700155d0205027eb084d4e06f4d03a2c392ad8a282f9b/	NLOD-1.0	clean.StatensVegvesen.tmx
bg	en	391	Bulgarian_strategic_innovations_digital_growth	Bilingual resource with Bulgarian strategic documents in the field of innovations and digital growth (Bulgarian - English) (Processed)	https://elrc-share.eu/repository/browse/bilingual-resource-with-bulgarian-strategic-documents-in-the-field-of-innovations-and-digital-growth-bulgarian-english-processed/2cb883806d1b11e7b7d400155d02670626c3d969c20e48cfb5a1a1c1cb0789b4/	https://elrc-share.eu/repository/download/2cb883806d1b11e7b7d400155d02670626c3d969c20e48cfb5a1a1c1cb0789b4/	publicDomain	191.bg-en.tmx
en	et	393	Estonian_Cabinet_Ministers	Parallel corpus from Estonian Cabinet of Ministers (Processed)	https://elrc-share.eu/repository/browse/parallel-corpus-from-estonian-cabinet-of-ministers-processed/32d399a86d1b11e7b7d400155d0267064a531119602b4a9c80337a59601a2543/	https://elrc-share.eu/repository/download/32d399a86d1b11e7b7d400155d0267064a531119602b4a9c80337a59601a2543/	CC-BY-4.0	245.valitsus.ee.et-en.tmx
da	en	394	Danish_Higher_Education_Science_3	DA-EN Danish Ministry of Higher Education and Science 3 (Processed)	https://elrc-share.eu/repository/browse/da-en-danish-ministry-of-higher-education-and-science-3-processed/34999b5c6d1b11e7b7d400155d026706d8c5c7566d9844ecb8cab52e08e275cf/	https://elrc-share.eu/repository/download/34999b5c6d1b11e7b7d400155d026706d8c5c7566d9844ecb8cab52e08e275cf/	CC-BY-NC-4.0	result_365.da-en.tmx
fr	nl	395	Belgian_about_Belgium_justice_system	Belgian parallel corpus about Belgium and the justice system (Processed)	https://elrc-share.eu/repository/browse/belgian-parallel-corpus-about-belgium-and-the-justice-system-processed/36a74e8a6d1b11e7b7d400155d026706c1b2fb29f9af45f8b75b14c7114e0d55/	https://elrc-share.eu/repository/download/36a74e8a6d1b11e7b7d400155d026706c1b2fb29f9af45f8b75b14c7114e0d55/	publicDomain	282.fr-nl.tmx
en-gb	nb-no	396	Foreign_Affairs_Norway	Translation memories from The Ministry of Foreign Affairs of Norway (Processed)	https://elrc-share.eu/repository/browse/translation-memories-from-the-ministry-of-foreign-affairs-of-norway-processed/3874ddfe6d1b11e7b7d400155d026706aa408cdca7fa41c681819c8ad1d3efd2/	https://elrc-share.eu/repository/download/3874ddfe6d1b11e7b7d400155d026706aa408cdca7fa41c681819c8ad1d3efd2/	CC-BY-4.0	nb_no_jernbane.tmx	nb_no_protokoll31.tmx	nb_no_eu_utvidelser.tmx	nb_no_legemidler.tmx	nb_no_statistikk.tmx	nb_no_off_innkjop.tmx	nb_no_standardtekst.tmx	nb_no_telekommunikasjon.tmx	nb_no_finans.tmx	nb_no_prodcom.tmx	nb_no_naeringsmidler_dyr_planter.tmx	nb_no_lisboa_traktaten.tmx	nb_no_sanksjonsforordninger.tmx	nb_no_miljo_stoffer.tmx	nb_no_ymse.tmx	nb_no_apparater.tmx	nb_no_luftfart.tmx	nb_no_ias_ifrs.tmx	nb_no_transport.tmx
da	en	397	Danish_Higher_Education_Science_2	DA-EN Danish Ministry of Higher Education and Science 2 (Processed)	https://elrc-share.eu/repository/browse/da-en-danish-ministry-of-higher-education-and-science-2-processed/3dba1d246d1b11e7b7d400155d026706c90434727cd1438395849129f5c45e28/	https://elrc-share.eu/repository/download/3dba1d246d1b11e7b7d400155d026706c90434727cd1438395849129f5c45e28/	CC-BY-NC-4.0	result_364.da-en.tmx
fr	pt	398	Portuguese_legislation_FR	Portuguese legislation in FR (Processed)	https://elrc-share.eu/repository/browse/portuguese-legislation-in-fr-processed/3fd3ce7a6d1b11e7b7d400155d026706cd614b4a00764ac798a9547c560cf0b9/	https://elrc-share.eu/repository/download/3fd3ce7a6d1b11e7b7d400155d026706cd614b4a00764ac798a9547c560cf0b9/	openUnder-PSI	align.fr-pt.tmx
